period_end,release_date,deliveries,net_orders
2015-01-31,2015-02-10,39,35
2015-02-28,2015-03-10,51,54
2015-03-31,2015-04-09,61,66
2015-04-30,2015-05-12,58,60
2015-05-31,2015-06-09,64,71
2015-06-30,2015-07-09,71,69
2015-07-31,2015-08-11,59,62
2015-08-31,2015-09-10,49,52
2015-09-30,2015-10-09,58,55
2015-10-31,2015-11-10,58,68
2015-11-30,2015-12-10,71,80
2015-12-31,2016-01-12,75,80
2016-01-31,2016-02-09,49,32
2016-02-29,2016-03-10,71,68
2016-03-31,2016-04-12,61,71
2016-04-30,2016-05-10,57,65
2016-05-31,2016-06-14,60,58
2016-06-30,2016-07-12,58,58
2016-07-31,2016-08-09,57,58
2016-08-31,2016-09-13,61,58
2016-09-30,2016-10-11,64,71
2016-10-31,2016-11-10,64,55
2016-11-30,2016-12-13,64,55
2016-12-31,2017-01-10,67,60
2017-01-31,2017-02-14,44,43
2017-02-28,2017-03-14,74,71
2017-03-31,2017-04-11,74,74
2017-04-30,2017-05-09,66,68
2017-05-31,2017-06-13,66,68
2017-06-30,2017-07-11,76,75
2017-07-31,2017-08-08,65,65
2017-08-31,2017-09-12,64,64
2017-09-30,2017-10-10,78,78
2017-10-31,2017-11-14,66,66
2017-11-30,2017-12-12,69,69
2017-12-31,2018-01-09,74,74
2018-01-31,2018-02-13,45,45
2018-02-28,2018-03-13,71,71
2018-03-31,2018-04-10,83,83
2018-04-30,2018-05-08,68,68
2018-05-31,2018-06-12,72,72
2018-06-30,2018-07-10,78,78
2018-07-31,2018-08-14,72,72
2018-08-31,2018-09-11,64,64
2018-09-30,2018-10-09,87,87
2018-10-31,2018-11-13,71,71
2018-11-30,2018-12-11,74,74
2018-12-31,2019-01-08,80,80
2019-01-31,2019-02-12,46,46
2019-02-28,2019-03-12,60,60
2019-03-31,2019-04-09,54,54
2019-04-30,2019-05-14,35,35
2019-05-31,2019-06-11,30,30
2019-06-30,2019-07-09,19,19
2019-07-31,2019-08-13,19,19
2019-08-31,2019-09-10,18,18
2019-09-30,2019-10-08,18,18
2019-10-31,2019-11-12,20,20
2019-11-30,2019-12-10,19,19
2019-12-31,2020-01-14,13,13
2020-01-31,2020-02-11,0,0
2020-02-29,2020-03-10,0,0
2020-03-31,2020-04-14,0,0
2020-04-30,2020-05-12,4,4
2020-05-31,2020-06-09,4,4
2020-06-30,2020-07-14,10,10
2020-07-31,2020-08-11,11,11
2020-08-31,2020-09-08,6,6
2020-09-30,2020-10-13,11,11
2020-10-31,2020-11-10,9,9
2020-11-30,2020-12-08,39,39
2020-12-31,2021-01-12,39,39
2021-01-31,2021-02-09,26,26
2021-02-28,2021-03-09,22,22
2021-03-31,2021-04-13,77,77
2021-04-30,2021-05-11,17,17
2021-05-31,2021-06-08,35,35
2021-06-30,2021-07-13,45,45
2021-07-31,2021-08-10,26,26
2021-08-31,2021-09-14,35,35
2021-09-30,2021-10-12,28,28
2021-10-31,2021-11-09,14,14
2021-11-30,2021-12-14,34,34
2021-12-31,2022-01-11,38,38
2022-01-31,2022-02-08,32,32
2022-02-28,2022-03-08,41,41
2022-03-31,2022-04-12,41,41
2022-04-30,2022-05-10,24,24
2022-05-31,2022-06-14,51,51
2022-06-30,2022-07-12,51,51
2022-07-31,2022-08-09,43,43
2022-08-31,2022-09-13,47,47
2022-09-30,2022-10-11,35,35
2022-10-31,2022-11-08,35,35
2022-11-30,2022-12-13,45,45
2022-12-31,2023-01-10,69,69
2023-01-31,2023-02-14,38,38
2023-02-28,2023-03-14,28,28
2023-03-31,2023-04-11,41,41
2023-04-30,2023-05-09,45,45
2023-05-31,2023-06-13,50,50
2023-06-30,2023-07-11,60,60
2023-07-31,2023-08-08,52,52
2023-08-31,2023-09-12,45,45
2023-09-30,2023-10-10,35,35
2023-10-31,2023-11-14,37,37
2023-11-30,2023-12-12,45,45
2023-12-31,2024-01-09,67,67
2024-01-31,2024-02-13,25,25
2024-02-29,2024-03-12,27,27
2024-03-31,2024-04-09,47,47
2024-04-30,2024-05-14,24,24
2024-05-31,2024-06-11,36,36
2024-06-30,2024-07-09,44,44
2024-07-31,2024-08-13,43,43
2024-08-31,2024-09-10,33,33
2024-09-30,2024-10-08,33,33
2024-10-31,2024-11-12,34,34
2024-11-30,2024-12-10,45,45
2024-12-31,2025-01-14,57,57
2025-01-31,2025-02-11,40,40
2025-02-28,2025-03-11,41,41
2025-03-31,2025-04-08,47,47
2025-04-30,2025-05-13,38,38
2025-05-31,2025-06-10,42,42
