,price,resid_z,p_value,flag_conformal,flag_isoforest,flag_lof,votes,severity,flag
2016-06-27,111.96566009521484,,,0,0,0,0,0,0
2016-06-28,113.05154418945312,,,0,0,0,0,0,0
2016-06-29,115.88036346435547,,,0,0,0,0,0,0
2016-06-30,118.50841522216797,,,0,0,0,0,0,0
2016-07-01,118.3441390991211,,,0,0,0,0,0,0
2016-07-05,115.86209869384766,,,0,0,0,0,0,0
2016-07-06,115.85297393798828,,,0,0,0,0,0,0
2016-07-07,116.04461669921875,,,0,0,0,0,0,0
2016-07-08,118.70916748046875,,,0,0,0,0,0,0
2016-07-11,120.4885482788086,,,0,0,0,0,0,0
2016-07-12,119.36617279052734,,,0,0,0,0,0,0
2016-07-13,118.72740173339844,,,0,0,0,0,0,0
2016-07-14,120.04141235351562,,,0,0,0,0,0,0
2016-07-15,120.80792999267578,,,0,0,0,0,0,0
2016-07-18,121.75696563720703,,,0,0,0,0,0,0
2016-07-19,122.87937927246094,,,0,0,0,0,0,0
2016-07-20,122.93412017822266,,,0,0,0,0,0,0
2016-07-21,121.84820556640625,,,0,0,0,0,0,0
2016-07-22,121.79344940185547,,,0,0,0,0,0,0
2016-07-25,121.30982971191406,,,0,0,0,0,0,0
2016-07-26,123.05274200439453,,,0,0,0,0,0,0
2016-07-27,124.06564331054688,,,0,0,0,0,0,0
2016-07-28,121.37369537353516,,,0,0,0,0,0,0
2016-07-29,121.96684265136719,,,0,0,0,0,0,0
2016-08-01,121.55621337890625,,,0,0,0,0,0,0
2016-08-02,120.08706665039062,,,0,0,0,0,0,0
2016-08-03,120.33345031738281,,,0,0,0,0,0,0
2016-08-04,119.73118591308594,,,0,0,0,0,0,0
2016-08-05,120.20567321777344,,,0,0,0,0,0,0
2016-08-08,120.62545013427734,,,0,0,0,0,0,0
2016-08-09,121.01781463623047,,,0,0,0,0,0,0
2016-08-10,121.7078857421875,,,0,0,0,0,0,0
2016-08-11,122.37034606933594,,,0,0,0,0,0,0
2016-08-12,122.46234893798828,,,0,0,0,0,0,0
2016-08-15,123.8976821899414,,,0,0,0,0,0,0
2016-08-16,124.21047973632812,,,0,0,0,0,0,0
2016-08-17,123.952880859375,,,0,0,0,0,0,0
2016-08-18,124.21047973632812,,,0,0,0,0,0,0
2016-08-19,123.69525909423828,,,0,0,0,0,0,0
2016-08-22,124.20130157470703,,,0,0,0,0,0,0
2016-08-23,123.4192123413086,,,0,0,0,0,0,0
2016-08-24,122.63713836669922,,,0,0,0,0,0,0
2016-08-25,122.35192108154297,,,0,0,0,0,0,0
2016-08-26,121.66187286376953,,,0,0,0,0,0,0
2016-08-29,122.27830505371094,,,0,0,0,0,0,0
2016-08-30,120.3553695678711,,,0,0,0,0,0,0
2016-08-31,119.10404205322266,,,0,0,0,0,0,0
