alpha,detectors,min_votes,recall,flag_rate,precision_proxy,vol_sep,score
0.005,conformal,1,0.176,0.0028,0.429,4.52,0.6059999999999999
0.005,conformal+isoforest+lof,2,0.235,0.0111,0.25,4.59,0.5543
0.005,conformal+isoforest,1,0.235,0.0127,0.219,4.31,0.5107
0.005,isoforest,1,0.176,0.0119,0.2,4.5,0.49420000000000003
0.01,conformal+isoforest+lof,2,0.235,0.0151,0.211,4.05,0.4767
0.01,isoforest,1,0.235,0.0155,0.205,3.96,0.4645
0.01,conformal,1,0.235,0.006,0.333,2.98,0.4367
0.01,conformal+isoforest,1,0.235,0.0179,0.178,3.59,0.4119
0.02,conformal+isoforest,1,0.412,0.0318,0.138,3.11,0.4086
0.02,isoforest,1,0.294,0.0259,0.138,3.53,0.40340000000000004
0.02,conformal,1,0.353,0.0135,0.235,2.59,0.40249999999999997
0.02,conformal+isoforest+lof,2,0.294,0.0263,0.136,3.52,0.40080000000000005
0.005,lof,1,0.294,0.0497,0.072,2.91,0.2674
0.005,conformal+isoforest+lof,1,0.294,0.0513,0.07,2.9,0.26239999999999997
0.01,lof,1,0.353,0.0728,0.066,2.65,0.2223
0.01,conformal+isoforest+lof,1,0.353,0.0756,0.063,2.6,0.21050000000000002
0.02,conformal+isoforest+lof,1,0.471,0.0986,0.065,2.43,0.20730000000000004
0.02,lof,1,0.353,0.0927,0.06,2.5,0.16510000000000002
